# ---- session start 2026-06-19T14:15:36+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:15:43.503 tasks started
2026-06-19T14:15:43.506 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:15:43.508 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:16:13.378 303.3,180.0,-93.0,39.96,1101, 3
2026-06-19T14:16:13.479 306.1,180.0,-91.3,40.52,1087, 3
2026-06-19T14:16:13.583 305.5,180.0,-93.6,40.76,1081, 3
2026-06-19T14:16:13.683 306.9,180.0,-92.8,40.60,1085, 3
2026-06-19T14:16:13.783 308.0,180.0,-92.4,40.84,1079, 3
2026-06-19T14:16:13.884 309.3,180.0,-91.4,40.72,1082, 3
2026-06-19T14:16:13.983 311.4,179.4,-89.4,41.20,1070, 3
2026-06-19T14:16:14.083 311.8,179.8,-89.8,41.80,1055, 3
2026-06-19T14:16:14.183 314.2,178.5,-88.5,42.40,1040, 3
2026-06-19T14:16:14.284 313.2,180.0,-91.9,42.40,1040, 3
2026-06-19T14:16:14.383 317.6,179.0,-89.0,42.92,1027, 3
2026-06-19T14:16:14.483 316.4,180.0,-92.3,43.84,1004, 3
2026-06-19T14:16:14.583 318.7,180.0,-91.2,44.20,995, 3
2026-06-19T14:16:14.683 319.5,180.0,-91.9,44.32,992, 3
2026-06-19T14:16:14.783 320.2,180.0,-92.5,44.72,982, 3
2026-06-19T14:16:14.883 322.5,180.0,-90.8,45.04,974, 3
2026-06-19T14:16:14.983 321.8,180.0,-93.0,44.52,987, 3
2026-06-19T14:16:15.083 325.5,180.0,-90.1,45.12,972, 3
2026-06-19T14:16:15.183 324.1,180.0,-94.3,44.96,976, 3
2026-06-19T14:16:15.283 328.3,180.0,-91.5,45.28,968, 3
2026-06-19T14:16:15.383 328.4,180.0,-93.8,45.00,975, 3
2026-06-19T14:16:15.483 331.7,180.0,-91.2,44.44,989, 3
2026-06-19T14:16:15.588 331.5,180.0,-92.1,44.72,982, 3
2026-06-19T14:16:15.688 333.0,180.0,-90.1,44.52,987, 3
2026-06-19T14:16:15.788 332.9,180.0,-90.2,44.84,979, 3
2026-06-19T14:16:15.888 333.9,179.5,-89.5,45.32,967, 3
2026-06-19T14:16:15.988 334.5,180.0,-90.2,45.16,971, 3
2026-06-19T14:16:16.088 336.5,179.8,-89.8,45.32,967, 3
2026-06-19T14:16:16.188 338.3,179.6,-89.6,45.80,955, 3
2026-06-19T14:16:16.288 338.9,180.0,-90.9,45.92,952, 3
2026-06-19T14:16:16.388 341.9,179.0,-89.0,46.08,948, 3
2026-06-19T14:16:16.488 341.7,180.0,-90.2,46.20,945, 3
2026-06-19T14:16:16.588 343.4,179.3,-89.3,46.88,928, 3
2026-06-19T14:16:16.688 343.6,180.0,-90.6,47.16,921, 3
2026-06-19T14:16:16.788 344.5,180.0,-91.5,47.12,922, 3
2026-06-19T14:16:16.888 345.3,180.0,-93.5,47.72,907, 3
2026-06-19T14:16:16.988 347.9,180.0,-92.7,47.68,908, 3
2026-06-19T14:16:17.087 348.8,180.0,-94.7,47.72,907, 3
2026-06-19T14:16:17.188 351.1,180.0,-93.8,47.40,915, 3
2026-06-19T14:16:17.288 352.7,180.0,-92.3,47.60,910, 3
2026-06-19T14:16:17.388 352.8,180.0,-91.3,48.24,894, 3
2026-06-19T14:16:17.488 352.9,179.6,-89.6,47.96,901, 3
2026-06-19T14:16:17.593 353.2,178.5,-88.5,48.40,890, 3
2026-06-19T14:16:17.693 354.4,177.5,-87.5,48.52,887, 3
2026-06-19T14:16:17.793 354.6,179.8,-89.8,48.36,891, 3
2026-06-19T14:16:17.893 358.5,179.0,-89.0,48.20,895, 3
2026-06-19T14:16:17.993 358.7,180.0,-91.8,47.72,907, 3
